,movie,total_sent_num,avg_dialogue_speed,avg_word_per_sent,genre,disaster,scifi,action,horror,romance,comedy,spy,martialarts,adventure
0,100earthquake,1610,2.947354021421708,26.06708074534161,['disaster'],1,0,0,0,0,0,0,0,0
1,2012,1963,2.717890000783366,29.704533876719307,"['disaster', 'scifi']",1,1,0,0,0,0,0,0,0
2,alitabattleangel,1392,2.7137289485257567,24.47485632183908,"['scifi', 'action']",0,1,1,0,0,0,0,0,0
3,annihilation,1087,2.7233972497177645,24.952161913523454,"['scifi', 'horror']",0,1,0,1,0,0,0,0,0
4,awalktoremember,1114,1.990316685787332,23.296229802513466,['romance'],0,0,0,0,1,0,0,0,0
5,billandtedfacethemusic,1706,2.4081612798478225,23.29249706916764,"['scifi', 'comedy']",0,1,0,0,0,1,0,0,0
6,casinoroyale,1281,2.596327127705437,25.660421545667447,"['action', 'spy']",0,0,1,0,0,0,1,0,0
7,centralintelligence,2956,3.386990793789288,24.462449255751014,"['action', 'comedy']",0,0,1,0,0,1,0,0,0
8,coldskin,584,2.202005661224176,25.273972602739725,"['scifi', 'horror']",0,1,0,1,0,0,0,0,0
9,crazyrichasians,1955,2.6992296870690398,28.46445012787724,"['romance', 'comedy']",0,0,0,0,1,1,0,0,0
10,dayofthedeadbloodline,1079,2.4529309829237294,24.1306765523633,"['action', 'horror']",0,0,1,1,0,0,0,0,0
11,deepbluesea2,1303,2.5385338006746356,26.0,"['scifi', 'horror']",0,1,0,1,0,0,0,0,0
12,divergent,1532,2.3733367898880915,24.503916449086162,"['scifi', 'action']",0,1,1,0,0,0,0,0,0
13,downsizing,1686,2.8088541298741365,31.49347568208778,"['scifi', 'comedy']",0,1,0,0,0,1,0,0,0
14,enterthefatdragon,808,2.4785296044024374,39.32797029702971,"['comedy', 'martialarts']",0,0,0,0,0,1,0,1,0
15,epic,1592,2.1539077303660794,24.676507537688448,"['action', 'adventure']",0,0,1,0,0,0,0,0,1
16,equals,806,2.38370626951176,32.95285359801489,"['scifi', 'romance']",0,1,0,0,1,0,0,0,0
17,extraction,943,2.7275185939237967,19.518557794273594,['action'],0,0,1,0,0,0,0,0,0
18,fastandfurious4,915,2.0754202003083657,27.80437158469945,['action'],0,0,1,0,0,0,0,0,0
